19:35:40.907 INFO  [main] actions.SystemMethods (SystemMethods.java:23) - Deleted the directory reports
19:35:40.920 INFO  [main] actions.SystemMethods (SystemMethods.java:23) - Deleted the directory allure-results
19:35:41.584 INFO  [main] utils.ExcelReader (ExcelReader.java:68) - Workbook loaded from path: src/test/resources/ExecutionFlow.xlsx
19:35:41.585 INFO  [main] utils.ExcelReader (ExcelReader.java:77) - found  sheet control
19:35:41.592 INFO  [main] utils.ExcelReader (ExcelReader.java:142) - Getting the header column number: 4
19:35:41.593 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 1 and column 4
19:35:41.593 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 2 and column 4
19:35:41.594 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 3 and column 4
19:35:41.595 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 4 and column 4
19:35:41.596 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 5 and column 4
19:35:41.596 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 6 and column 4
19:35:41.597 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 7 and column 4
19:35:41.598 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 8 and column 4
19:35:41.598 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 9 and column 4
19:35:41.599 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 10 and column 4
19:35:41.600 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 11 and column 4
19:35:41.600 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 12 and column 4
19:35:41.601 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 13 and column 4
19:35:41.601 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 14 and column 4
19:35:41.602 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 15 and column 4
19:35:41.602 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 16 and column 4
19:35:41.602 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 17 and column 4
19:35:41.603 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 18 and column 4
19:35:41.603 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 19 and column 4
19:35:41.604 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 20 and column 4
19:35:41.604 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 21 and column 4
19:35:41.605 INFO  [main] utils.ExcelReader (ExcelReader.java:129) - read 'false' from row 22 and column 4
